cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,anweight,lrscale,ctzcntr,gndr,agea,edulvla,tporgwk,hinctnt,hinctnta,regiongb,wrywprb,jbprtfp,stfjb,plnftr
GB,ESS1-9e01,1.0,10.12.2020,183744,ESS1e06_6,1,6.6,100716,1.5768,1.93426755710635,2.32684152046784,4.50073406356894,2,1,2,21,3,,10,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183745,ESS1e06_6,1,6.6,100717,1.0512,1.27118738346816,2.32684152046784,2.95785158414857,4,1,1,48,5,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183746,ESS1e06_6,1,6.6,100719,1.0512,1.27118738346816,2.32684152046784,2.95785158414857,8,1,1,42,5,,11,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183747,ESS1e06_6,1,6.6,100721,0.5256,0.644755852368783,2.32684152046784,1.50024468785631,7,1,2,25,5,,9,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183748,ESS1e06_6,1,6.6,100722,1.0512,1.11574197697345,2.32684152046784,2.5961547581507,6,1,1,69,5,,10,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183749,ESS1e06_6,1,6.6,100801,0.5256,0.692561873310154,2.32684152046784,1.61148172231105,6,1,2,66,5,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183750,ESS1e06_6,1,6.6,100802,0.5256,0.635593691734079,2.32684152046784,1.47892579207429,5,2,1,36,2,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183751,ESS1e06_6,1,6.6,100803,0.5256,0.692561873310154,2.32684152046784,1.61148172231105,10,1,2,81,1,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183752,ESS1e06_6,1,6.6,100805,4,4.24559351968589,2.32684152046784,9.87882328063431,4,1,1,77,1,,6,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183753,ESS1e06_6,1,6.6,100806,1.0512,1.51518826814802,2.32684152046784,3.52560297365256,6,2,1,24,5,,9,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183754,ESS1e06_6,1,6.6,100812,0.5256,0.692561873310154,2.32684152046784,1.61148172231105,88,1,2,77,3,,77,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183755,ESS1e06_6,1,6.6,100814,1.0512,1.20171904521205,2.32684152046784,2.79620977033637,3,1,2,35,5,,8,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183756,ESS1e06_6,1,6.6,100815,1.0512,1.27118738346816,2.32684152046784,2.95785158414857,5,1,1,42,5,,9,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183757,ESS1e06_6,1,6.6,100823,2.1024,2.77024749324062,2.32684152046784,6.44592688924422,5,1,2,63,1,,6,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183758,ESS1e06_6,1,6.6,100824,2.1024,2.4034380904241,2.32684152046784,5.59241954067273,5,1,2,44,2,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183759,ESS1e06_6,1,6.6,100902,1.0512,1.11574197697345,2.32684152046784,2.5961547581507,4,1,1,69,1,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183760,ESS1e06_6,1,6.6,100907,1.5768,1.80257856781807,2.32684152046784,4.19431465550454,7,1,2,44,1,,9,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183761,ESS1e06_6,1,6.6,100911,1.5768,2.27278240222203,2.32684152046784,5.28840446047886,5,1,1,21,3,,88,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183762,ESS1e06_6,1,6.6,100913,1.5768,2.07768561993047,2.32684152046784,4.83444516693316,5,1,2,63,2,,88,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183763,ESS1e06_6,1,6.6,100918,1.0512,1.11574197697345,2.32684152046784,2.5961547581507,3,1,1,64,2,,8,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183764,ESS1e06_6,1,6.6,100922,0.5256,0.692561873310154,2.32684152046784,1.61148172231105,7,1,2,60,3,,4,,11,,,,
